id_producto,sku,nombre,categoria,marca,precio_mxn,stock,proveedor,fecha_alta,activo
1,ALI-00001,Café Molido 500 g Terra Select,Alimentos,Terra,197.77,52,Distribuidora del Norte,2025-08-27,Sí
2,ELE-00002,Audífonos Inalámbricos Brava Lite,Electrónica,Brava,2165.76,287,Distribuidora Nova,2026-01-03,Sí
3,CUI-00003,Rasuradora 3 Cabezas Cobalto Advance,Cuidado personal,Cobalto,811.14,3,Distribuidora Mexicana,2025-12-15,Sí
4,OFI-00004,Mochila Ejecutiva Marea Plus,Oficina,Marea,588.14,49,Distribuidora Metropolitana,2026-05-17,Sí
5,OFI-00005,Cuaderno Cuadriculado Orion Eco,Oficina,Orion,504.96,150,Distribuidora Metropolitana,2025-08-14,Sí
6,ELE-00006,Audífonos Inalámbricos Kairo Plus,Electrónica,Kairo,3014.31,51,Distribuidora Hidalgo,2024-10-11,Sí
7,OFI-00007,Mochila Antirrobo Prisma Select,Oficina,Prisma,4031.92,349,Distribuidora del Norte,2025-09-15,Sí
8,CUI-00008,Crema Corporal Hidratante 400 ml Cobalto Eco,Cuidado personal,Cobalto,788.44,327,Distribuidora Nova,2025-12-02,Sí
9,ELE-00009,Teclado Mecánico Marea Eco,Electrónica,Marea,1045.93,108,Distribuidora Metropolitana,2024-08-05,Sí
10,DEP-00010,Balón de Básquetbol Terra Pro,Deportes,Terra,806.69,287,Distribuidora Pacífico,2026-02-03,Sí
11,CUI-00011,Rasuradora Corporal Brava Pro,Cuidado personal,Brava,1448.24,46,Distribuidora Central,2026-05-31,Sí
12,ALI-00012,Cereal de Avena 500 g Urban Advance,Alimentos,Urban,74.17,195,Distribuidora Bajío,2025-06-25,Sí
13,CUI-00013,Shampoo Reparador 700 ml Orion Lite,Cuidado personal,Orion,2112.92,328,Distribuidora Metropolitana,2024-04-24,Sí
14,HOG-00014,Juego de Toallas Algodón Terra Lite,Hogar,Terra,1922.95,259,Distribuidora del Norte,2026-06-10,Sí
